bits,n,p
5,10,0.834000000000000
5,30,0.984000000000000
5,100,1.00000000000000
5,300,1.00000000000000
5,1000,1.00000000000000
6,10,0.566000000000000
6,30,0.884000000000000
6,100,0.996000000000000
6,300,1.00000000000000
6,1000,1.00000000000000
7,10,0.424000000000000
7,30,0.740000000000000
7,100,0.970000000000000
7,300,1.00000000000000
7,1000,1.00000000000000
8,10,0.244000000000000
8,30,0.500000000000000
8,100,0.852000000000000
8,300,0.994000000000000
8,1000,1.00000000000000
9,10,0.146000000000000
9,30,0.324000000000000
9,100,0.668000000000000
9,300,0.928000000000000
9,1000,0.998000000000000
10,10,0.0900000000000000
10,30,0.196000000000000
10,100,0.410000000000000
10,300,0.742000000000000
10,1000,0.978000000000000
11,10,0.0500000000000000
11,30,0.122000000000000
11,100,0.244000000000000
11,300,0.554000000000000
11,1000,0.886000000000000
12,10,0.0180000000000000
12,30,0.0580000000000000
12,100,0.156000000000000
12,300,0.330000000000000
12,1000,0.670000000000000
13,10,0.0100000000000000
13,30,0.0320000000000000
13,100,0.0800000000000000
13,300,0.210000000000000
13,1000,0.474000000000000
14,10,0.00800000000000000
14,30,0.0240000000000000
14,100,0.0300000000000000
14,300,0.118000000000000
14,1000,0.278000000000000
15,10,0.00200000000000000
15,30,0.00600000000000000
15,100,0.00400000000000000
15,300,0.0580000000000000
15,1000,0.190000000000000
16,10,0.000000000000000
16,30,0.000000000000000
16,100,0.0140000000000000
16,300,0.0300000000000000
16,1000,0.0720000000000000
17,10,0.000000000000000
17,30,0.00200000000000000
17,100,0.00800000000000000
17,300,0.0160000000000000
17,1000,0.0520000000000000
18,10,0.000000000000000
18,30,0.00200000000000000
18,100,0.00400000000000000
18,300,0.0100000000000000
18,1000,0.0340000000000000
19,10,0.000000000000000
19,30,0.000000000000000
19,100,0.000000000000000
19,300,0.00600000000000000
19,1000,0.0120000000000000
20,10,0.00200000000000000
20,30,0.000000000000000
20,100,0.000000000000000
20,300,0.00400000000000000
20,1000,0.00800000000000000
21,10,0.000000000000000
21,30,0.000000000000000
21,100,0.000000000000000
21,300,0.00200000000000000
21,1000,0.00600000000000000
22,10,0.000000000000000
22,30,0.000000000000000
22,100,0.000000000000000
22,300,0.000000000000000
22,1000,0.00600000000000000
23,10,0.000000000000000
23,30,0.000000000000000
23,100,0.000000000000000
23,300,0.000000000000000
23,1000,0.00200000000000000
24,10,0.000000000000000
24,30,0.000000000000000
24,100,0.00200000000000000
24,300,0.000000000000000
24,1000,0.000000000000000
25,10,0.000000000000000
25,30,0.000000000000000
25,100,0.000000000000000
25,300,0.000000000000000
25,1000,0.00200000000000000
26,10,0.000000000000000
26,30,0.000000000000000
26,100,0.000000000000000
26,300,0.000000000000000
26,1000,0.000000000000000
27,10,0.000000000000000
27,30,0.000000000000000
27,100,0.000000000000000
27,300,0.000000000000000
27,1000,0.000000000000000
28,10,0.000000000000000
28,30,0.000000000000000
28,100,0.000000000000000
28,300,0.000000000000000
28,1000,0.000000000000000
29,10,0.000000000000000
29,30,0.000000000000000
29,100,0.000000000000000
29,300,0.000000000000000
29,1000,0.000000000000000
30,10,0.000000000000000
30,30,0.000000000000000
30,100,0.000000000000000
30,300,0.000000000000000
30,1000,0.000000000000000
